Name,dtype,Type,Description
hosp_yn ,bool,Dependent Variable,Was the patient hospitalized?
death_yn ,bool,Dependent Variable,Did the patient die as a result of this illness?
sex_female ,bool,Feature,Is the patient female?
age_0 ,bool,Feature,Is the patient between 0 and 17 years old?
age_18 ,bool,Feature,Is the patient between 18 and 49 years old?
age_50 ,bool,Feature,Is the patient between 50 and 64 years old?
age_65 ,bool,Feature,Is the patient older than 65 years?
race_native ,bool,Feature,Is the patient Native American?
race_asian ,bool,Feature,Is the patient Asian?
race_black ,bool,Feature,Is the patient Black?
race_other ,bool,Feature,"Indicates whether the patient’s race is unknown, missing or suppressed for privacy protection"
race_native_pacific ,bool,Feature,Is the patient Native Hawaiian or Pacific Islander?
race_white ,bool,Feature,Is the patient White?
ethnicity_hispanic ,bool,Feature,Is the patient Hispanic?
case_onset_interval ,int,Feature,Weeks between earliest date and date of symptom onset.
symptom_status ,bool,Feature,Is the patient symptomatic?
used_bed_ratio ,float,Feature,
used_icu_ratio ,float,Feature,
rural-urban_Continuum Code_2013 ,float,Feature, rural-urban classification in patient's county
urban_influence_code_2013 ,float,Feature, rural-urban influence classification in patient's county
economic_typology_2015 ,float,Feature, economic dependencies in patient's county
pop_estimate_2019 ,float,Feature, population estimate 2019 in patient's county
less_hs_pct ,float,Feature, ratio of people with education less than high school in patient's county
hs_only_pct ,float,Feature, ratio of people with high school educatione in patient's county
some_college_pct ,float,Feature, ratio of people with some college education in patient's county
bachelor_higher_pct ,float,Feature, ratio of people with a bachelor's or higher degree in patient's county
unempl_rate ,float,Feature, unemployment rate 2020 in patient's county
med_hh_income_19 ,float,Feature,median household income 2019 in patient's county
med_hh_income_pct_state_total_19 ,float,Feature, median household income as a percentage of the state total 2019 in patient's county
poverty_pct_19 ,float,Feature, ratio of people who live in poverty in patient's county
democrat_20_ratio,float,Feature, ratio of people who voted for the democratic party in the 2020's election in patient's county
republican_20_ratio,float,Feature, ratio of people who voted for the republican party in the 2020's election in patient's county
green_20_ratio,float,Feature, ratio of people who voted for the green party in the 2020's election in patient's county
libertarian_20_ratio,float,Feature, ratio of people who voted for the libertarian party in the 2020's election in patient's county
other_20_ratio,float,Feature, ratio of people who voted for other parties in the 2020's election in patient's county
